,Date,symbol,volume,pv,bullish risk,C2,C1,CMP,P1,P2,Bearish Risk
220,06-12-2024,SHRIRAMFIN,1122,25,1,3065.6,3113.15,3124,3162.4,3209.8,1
221,06-12-2024,SIEMENS,1718,50,0,7611.75,7712.35,7782,7813.35,7907.7,1
222,06-12-2024,SJVN,526,1.25,3,113.65,116.2,120.98,120.1,122.5,3
0,05-12-2024,EICHERMOT,1657,25,3,4719,4762.75,4826.05,4813.15,4861.25,2
1,05-12-2024,ESCORTS,2226,25,5,3378.05,3418.4,3456.7,3465.85,3513.2,1
2,05-12-2024,EXIDEIND,1427,5,4,444.25,453.85,454.05,463.75,473.15,1
3,05-12-2024,FEDERALBNK,2737,1.25,0,212.95,215.35,215,218,220.45,1
4,05-12-2024,GAIL,2897,1.25,0,203.5,205.7,208.88,208.55,210.6,0
5,05-12-2024,GLENMARK,542,10,4,1508.7,1528.65,1547,1545.65,1561.1,0
6,05-12-2024,GMRINFRA,1977,0.5,0,82.37,83.37,84.3,84.32,85.22,1
7,05-12-2024,GNFC,1310,5,3,623.45,632.85,634.8,642.3,652.35,0
8,05-12-2024,GODREJCP,675,10,3,1206.9,1226.15,1250,1245.6,1266.3,0
9,05-12-2024,GODREJPROP,2636,25,2,2821.75,2869.65,2860.85,2915.4,2960.7,1
10,05-12-2024,GRANULES,7473,5,3,530.85,539.3,568.3,557.25,560.1,0
11,05-12-2024,GRASIM,1827,10,0,2677.2,2698.65,2707,2717,2733.8,1
12,05-12-2024,GUJGASLTD,1121,5,2,486,495.15,502.95,505.05,515.05,0
13,05-12-2024,HAL,9065,50,0,4444.1,4536.5,4567,4630.75,4726.15,0
14,05-12-2024,HAVELLS,1602,10,2,1703.5,1723.75,1748,1742.6,1762.75,3
15,05-12-2024,HCLTECH,3926,10,0,1863.55,1884.3,1920,1903.05,1922.2,2
16,05-12-2024,HDFCAMC,1556,25,1,4314.15,4360.3,4370,4408.65,null,3
17,05-12-2024,HDFCBANK,18404,5,0,1842.95,1853.25,1864.85,1862.85,1872.3,0
18,05-12-2024,HDFCLIFE,2490,5,3,632.8,642.75,643.15,652.7,662.15,0
19,05-12-2024,HEROMOTOCO,4042,50,3,4534.45,4632.85,4643.75,4727.95,4826.9,0
20,05-12-2024,HFCL,986,1.25,5,125.3,128.8,130.25,130.6,null,2
21,05-12-2024,HINDALCO,1136,5,2,654.4,663.5,670.3,672.65,682.15,0
22,05-12-2024,HINDCOPPER,281,2.5,4,276.85,281.45,284.05,286.2,290.45,3
23,05-12-2024,HINDPETRO,1333,2.5,0,382.15,387,391.85,391.7,396.95,1
24,05-12-2024,HINDUNILVR,2866,10,2,2443.2,2462.3,2496,2482.15,2500.35,0
25,05-12-2024,HUDCO,1096,2.5,3,236.72,241.57,243.25,245.87,251.02,3
26,05-12-2024,ICICIBANK,6073,5,0,1300.25,1309.95,1336.55,1319.8,1329.85,1
27,05-12-2024,ICICIGI,2583,10,2,1926.2,1945,1931,1966,1980.25,5
